Paper,Title,Link,Disease,Disease_2,AUC,Cases,Controls,Type,SE,SE_rounded,Method,Adjusters
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,ASD,Autism Spectrum Disorder,0.39,59,44,METAGENOMIC,0.05666649,0.057,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,ASD,Autism Spectrum Disorder,0.76,19,20,METAGENOMIC,0.07804127,0.078,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,CD,Inflammatory Bowel Disease,0.71,146,16,METAGENOMIC,0.05924742,0.059,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,CDI,Clostridium Difficile Infection,0.91,25,25,METAGENOMIC,0.04346377,0.043,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,CDI,Clostridium Difficile Infection,0.99,93,154,METAGENOMIC,0.00734407,0.007,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,CRC,Colorectal Cancer,0.77,120,172,METAGENOMIC,0.02894493,0.029,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,CRC,Colorectal Cancer,0.78,21,22,METAGENOMIC,0.07161693,0.072,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,CRC,Colorectal Cancer,0.82,41,75,METAGENOMIC,0.04405943,0.044,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,CRC,Colorectal Cancer,0.9,44,54,METAGENOMIC,0.03371806,0.034,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,EDD,Enteric Diarrheal Disease,0.96,201,82,METAGENOMIC,0.01061524,0.011,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,HIV,HIV,0.22,21,15,METAGENOMIC,0.08181919,0.082,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,HIV,HIV,0.67,205,34,METAGENOMIC,0.04535793,0.045,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,HIV,HIV,0.92,23,13,METAGENOMIC,0.04541672,0.045,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,IBD,Inflammatory Bowel Disease,0.66,45,35,METAGENOMIC,0.06049057,0.06,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,IBD,Inflammatory Bowel Disease,0.81,108,18,METAGENOMIC,0.04509913,0.045,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,IBD,Inflammatory Bowel Disease,0.84,66,24,METAGENOMIC,0.04167095,0.042,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,LIV,Cirrhosis,0.8,46,25,METAGENOMIC,0.05163978,0.052,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,NASH,Non-Alcoholic SteatoHepatitis,0.68,16,22,METAGENOMIC,0.09011471,0.09,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,NASH,Non-Alcoholic SteatoHepatitis,0.93,22,16,METAGENOMIC,0.04214012,0.042,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,OB,Obesity,0.44,101,96,METAGENOMIC,0.04093076,0.041,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,OB,Obesity,0.49,37,26,METAGENOMIC,0.07452529,0.075,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,OB,Obesity,0.67,185,428,METAGENOMIC,0.02467065,0.025,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,OB,Obesity,0.84,195,61,METAGENOMIC,0.0249626,0.025,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,OB,Obesity,0.86,25,16,METAGENOMIC,0.05723407,0.057,Random Forest,None
Duvalet_2017,Meta-analysis of gut microbiome studies identifies disease-specific and shared responses,https://www.nature.com/articles/s41467-017-01973-8,PD,Parkinson's Disease,0.67,74,74,METAGENOMIC,0.04420651,0.044,Random Forest,None
